"ad_table_id","tabla","nombre_tabla","descripcion_tabla","ad_column_id","columna","nombre_columna","etiqueta","descripcion_columna","ayuda_columna","ad_reference_id","tipo_referencia","longitud","es_clave","es_padre","obligatorio","identificador","traducible","actualizable","logica_solo_lectura","valor_por_defecto","callout","ad_reference_value_id","referencia_valor","regla_validacion","codigo_regla_validacion","columna_sql","secuencia"
539,"A_Asset","Activo","Asset used internally or by customers",8051,"A_Asset_Group_ID","Grupo de Activos","Grupo de Activos","Grupo de Activos","El grupo de activos determina cuentas por defaul. Si un grupo del activo se selecciona en la categoría de producto, se crean los activos al entregar el activo.",30,"Search",22,"N","N","Y","N","N","Y",NULL,NULL,NULL,53357,"A_Asset_Group","Asset Group for specified Asset Type","(A_Asset_Type_ID IS NULL OR A_Asset_Type_ID = @A_Asset_Type_ID@)",NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8070,"A_Asset_ID","Activo","Activo","Activo usado por la compañía o sus clientes","Indica si es usado por la compañía o sus clientes",13,"ID",22,"Y","N","Y","N","N","N",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8064,"AD_Client_ID","Grupo Empresarial","Grupo Empresarial","Grupo Empresarial para esta instalación","Grupo Empresarial. No se pueden compartir datos entre diferentes grupos empresariales.",19,"Table Direct",22,"N","N","Y","N","N","N",NULL,"@#AD_Client_ID@",NULL,NULL,NULL,"AD_Client Trx Security validation","AD_Client.AD_Client_ID <> 0",NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8052,"AD_Org_ID","Organización","Organización","Entidad organizacional dentro del grupo empresarial","Una organización es una unidad del grupo empresarial o entidad legal - Ej. Tiendas y departamentos. Es posible compartir datos entre organizaciones.",19,"Table Direct",22,"N","N","Y","N","N","N",NULL,"@#AD_Org_ID@",NULL,NULL,NULL,"AD_Org Trx Security validation","AD_Org.AD_Org_ID <> 0  AND AD_Org.IsSummary='N'",NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8039,"AD_User_ID","Usuario","Usuario","ID de Usuario dentro del sistema","La ID de usuario identifica un usuario único en el sistema",19,"Table Direct",22,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,"AD_User BPartner","AD_User.C_BPartner_ID=@C_BPartner_ID@",NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8044,"AssetDepreciationDate","Fecha Amortización Activo","Fecha Amortización Activo","Fecha de depreciación pasada.","Fecha de la depreciación pasada, si el activo se utiliza internamente y se deprecia.",15,"Date",7,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8048,"AssetDisposalDate","Fecha Disposición Activo","Fecha Disposición Activo","Fecha desde/cuando el activo esta dispuesto",NULL,15,"Date",7,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8068,"AssetServiceDate","En Fecha de Servicio","En Fecha de Servicio","Fecha cuando el activo ha sido puesto en servicio","La fecha en que el activo fue puesto en servicio - usado generalmente como fecha del comienzo para la depreciación.",15,"Date",7,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8065,"C_BPartner_ID","Tercero","Tercero","Identifica un Tercero","Un tercero es cualquiera con quien usted realiza transacciones. Este puede incluir Proveedores, Clientes, Empleados o Vendedores.",30,"Search",22,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,"C_BPartner (Trx)","C_BPartner.IsActive='Y' AND C_BPartner.IsSummary='N'",NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8073,"C_BPartner_Location_ID","Dirección del Tercero","Dirección del Tercero","Identifica la dirección para este tercero","La dirección de un tercero indica la ubicación de un tercero",19,"Table Direct",22,"N","N","N","N","N","Y",NULL,NULL,"org.idempiere.fa.model.CalloutAsset.locator",NULL,NULL,"C_BPartner_Loc","C_BPartner_Location.C_BPartner_ID=@C_BPartner_ID@",NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8049,"C_Location_ID","Localización / Dirección","Localización / Dirección","Ubicación o dirección","El campo Ubicación / Dirección define la ubicación de una entidad.",21,"Location (Address)",22,"N","N","N","N","N","Y",NULL,NULL,"org.idempiere.fa.model.CalloutAsset.locator",NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8050,"Created","Creado","Creado","Fecha de creación de este registro","El campo creado indica la fecha en que este registro fue creado",16,"Date+Time",7,"N","N","Y","N","N","N",NULL,"SYSDATE",NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8045,"CreatedBy","Creado Por","Creado Por","Usuario que creó este registro","El campo creado por indica el usuario que creó este registro",30,"Search",22,"N","N","Y","N","N","N",NULL,NULL,NULL,110,"AD_User",NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8057,"Description","Descripción","Descripción","Descripción corta opcional del registro","Una descripción esta limitada a 255 caracteres",10,"String",255,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8066,"GuaranteeDate","Fecha Garantía","Fecha Garantía","Fecha cuando la garantía expira","Fecha cuando la garantía o disponibilidad normal expira",15,"Date",7,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8062,"Help","Ayuda","Ayuda","Ayuda; Comentario o Sugerencia","El campo ayuda contiene una sugerencia; comentario o ayuda acerca del uso de esta partida",14,"Text",2000,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8043,"IsActive","Activo","Activo","El registro está activo en el sistema","Hay dos métodos para que los registros no estén disponibles en el sistema: Uno es eliminar el registro; el otro es desactivarlo. Un registro desactivado no está disponible para selección; pero está disponible para Informes",20,"Yes-No",1,"N","N","Y","N","N","Y",NULL,"Y",NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8059,"IsDepreciated","Depreciar","Depreciar","El activo ha sido depreciado","El activo se utiliza internamente y será depreciado",20,"Yes-No",1,"N","N","Y","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8040,"IsDisposed","Disponible","Disponible","El activo esta disponible","El activo no esta utilizado y esta disponible.",20,"Yes-No",1,"N","N","Y","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8126,"IsFullyDepreciated","Totalmente Depreciado","Totalmente Depreciado","El activo está totalmente depreciado","The asset costs are fully amortized.",20,"Yes-No",1,"N","N","Y","N","N","N",NULL,"N",NULL,NULL,NULL,NULL,NULL,NULL,0
